Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309181520;20.30;0.00;9.00;323.00;64.30;13.30;213.00;6.80;18.00;950.70;1011.60;1013.90;-;-;-;-;-;-;-;-
COM;202309181520;17.90;0.00;0.00;51.00;100.00;17.90;37.00;1.10;4.30;946.90;1012.40;1014.30;-;-;-;-;-;-;-;-
ABO;202309181520;11.70;0.10;0.00;78.00;86.80;9.60;261.00;6.50;13.30;868.80;-;1019.00;1508.60;-;-;-;-;-;-;-
AIG;202309181520;16.80;0.40;0.00;6.00;87.30;14.70;152.00;20.50;31.00;970.70;1015.00;1015.90;-;-;-;-;-;-;-;-
ALT;202309181520;17.00;0.10;0.00;28.00;83.30;14.10;139.00;22.00;31.70;964.10;1014.80;1015.90;-;-;-;-;-;-;-;-
ARH;202309181520;20.30;0.00;0.00;163.00;60.40;12.40;180.00;10.80;24.50;966.80;1012.30;1013.80;-;-;-;-;-;-;-;-
AND;202309181520;13.50;0.30;0.00;0.00;90.80;12.00;360.00;1.80;4.70;903.70;-;1017.30;1501.40;-;-;-;-;-;-;-
ANT;202309181520;10.90;0.70;0.00;141.00;91.00;9.50;317.00;5.80;10.40;857.90;-;1019.70;1512.80;-;-;-;-;-;-;-
ARO;202309181520;8.40;0.30;0.00;31.00;99.00;8.30;132.00;4.70;10.40;812.80;-;1020.20;1507.00;-;-;-;-;-;-;-
RAG;202309181520;16.20;0.20;0.00;99.00;91.70;14.80;91.00;4.70;10.80;957.90;1015.20;1016.40;-;-;-;-;-;-;-;-
BAN;202309181520;-;-;0.00;108.00;-;-;-;-;-;-;-;-;-;-;193.00;23.80;27.70;13.70;82.20;10.70
BAS;202309181520;22.10;0.00;9.00;429.00;61.20;14.30;194.00;13.00;19.80;974.60;1010.70;1012.10;-;-;-;-;-;-;-;-
LAT;202309181520;11.30;0.50;0.00;8.00;99.20;11.20;208.00;4.00;7.90;-;-;-;-;-;-;-;-;-;-;-
BER;202309181520;17.00;0.00;0.00;112.00;90.20;15.40;187.00;2.50;5.80;949.80;1013.10;1014.70;-;-;-;-;-;-;-;-
BEZ;202309181520;19.40;0.00;0.00;80.00;81.10;16.10;188.00;8.30;18.40;974.60;1012.20;1013.30;-;-;-;-;-;-;-;-
BIA;202309181520;18.70;0.70;0.00;24.00;97.40;18.30;27.00;4.70;7.60;980.20;1012.50;1013.30;-;-;-;-;-;-;-;-
